"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","ROADACCID","DEATH","1000000HAB","A","2001",158.5414189457,
"LUX","ROADACCID","DEATH","1000000HAB","A","2002",138.95892867149,
"LUX","ROADACCID","DEATH","1000000HAB","A","2003",117.35270021921,
"LUX","ROADACCID","DEATH","1000000HAB","A","2004",109.14766587717,
"LUX","ROADACCID","DEATH","1000000HAB","A","2005",101.04093662798,
"LUX","ROADACCID","DEATH","1000000HAB","A","2006",90.978911934529,
"LUX","ROADACCID","DEATH","1000000HAB","A","2007",93.751367207438,
"LUX","ROADACCID","DEATH","1000000HAB","A","2008",71.625908114192,
"LUX","ROADACCID","DEATH","1000000HAB","A","2009",96.427559800154,
"LUX","ROADACCID","DEATH","1000000HAB","A","2010",63.122222375644,
"LUX","ROADACCID","DEATH","1000000HAB","A","2011",63.66391625687,
"LUX","ROADACCID","DEATH","1000000HAB","A","2012",64.03664402783,
"LUX","ROADACCID","DEATH","1000000HAB","A","2013",82.818021201413,
"LUX","ROADACCID","DEATH","1000000HAB","A","2014",62.91354420755,
"GBR","ROADACCID","DEATH","1000000HAB","A","2001",60.859605904789,
"GBR","ROADACCID","DEATH","1000000HAB","A","2002",60.316171611147,
"GBR","ROADACCID","DEATH","1000000HAB","A","2003",61.32688340383,
"GBR","ROADACCID","DEATH","1000000HAB","A","2004",56.144651159263,
"GBR","ROADACCID","DEATH","1000000HAB","A","2005",55.230685294595,
"GBR","ROADACCID","DEATH","1000000HAB","A","2006",54.201682191444,
"GBR","ROADACCID","DEATH","1000000HAB","A","2007",49.883841097511,
"GBR","ROADACCID","DEATH","1000000HAB","A","2008",42.794508938673,
"GBR","ROADACCID","DEATH","1000000HAB","A","2009",37.526332261068,
"GBR","ROADACCID","DEATH","1000000HAB","A","2010",30.350650384167,
"GBR","ROADACCID","DEATH","1000000HAB","A","2011",30.983773702864,
"GBR","ROADACCID","DEATH","1000000HAB","A","2012",28.288720775255,
"GBR","ROADACCID","DEATH","1000000HAB","A","2013",27.600950632877,
"GBR","ROADACCID","DEATH","1000000HAB","A","2014",28.69384503095,
"LTU","ROADACCID","DEATH","1000000HAB","A","2001",203.41026236466,
"LTU","ROADACCID","DEATH","1000000HAB","A","2002",202.43579343649,
"LTU","ROADACCID","DEATH","1000000HAB","A","2003",207.60052154873,
"LTU","ROADACCID","DEATH","1000000HAB","A","2004",222.67790913735,
"LTU","ROADACCID","DEATH","1000000HAB","A","2005",232.65417176319,
"LTU","ROADACCID","DEATH","1000000HAB","A","2006",232.42237016382,
"LTU","ROADACCID","DEATH","1000000HAB","A","2007",229.01042121206,
"LTU","ROADACCID","DEATH","1000000HAB","A","2008",156.02375188034,
"LTU","ROADACCID","DEATH","1000000HAB","A","2009",116.98065961916,
"LTU","ROADACCID","DEATH","1000000HAB","A","2010",96.536253398948,
"LTU","ROADACCID","DEATH","1000000HAB","A","2011",97.750580806872,
"LTU","ROADACCID","DEATH","1000000HAB","A","2012",101.0786294675,
"LTU","ROADACCID","DEATH","1000000HAB","A","2013",86.554062986338,
"LTU","ROADACCID","DEATH","1000000HAB","A","2014",91.052722936795,
"RUS","ROADACCID","DEATH","1000000HAB","A","2001",211.78811874271,
"RUS","ROADACCID","DEATH","1000000HAB","A","2002",228.77919339984,
"RUS","ROADACCID","DEATH","1000000HAB","A","2003",246.12809541148,
"RUS","ROADACCID","DEATH","1000000HAB","A","2004",239.51346988743,
"RUS","ROADACCID","DEATH","1000000HAB","A","2005",236.60360551509,
"RUS","ROADACCID","DEATH","1000000HAB","A","2006",228.75992991742,
"RUS","ROADACCID","DEATH","1000000HAB","A","2007",233.24098928464,
"RUS","ROADACCID","DEATH","1000000HAB","A","2008",209.72052092459,
"RUS","ROADACCID","DEATH","1000000HAB","A","2009",193.71035998919,
"RUS","ROADACCID","DEATH","1000000HAB","A","2010",185.97901627188,
"RUS","ROADACCID","DEATH","1000000HAB","A","2011",195.52903106324,
"RUS","ROADACCID","DEATH","1000000HAB","A","2012",195.46558938319,
"RUS","ROADACCID","DEATH","1000000HAB","A","2013",188.31845666304,
"RUS","ROADACCID","DEATH","1000000HAB","A","2014",187.44307193705,
"CHE","ROADACCID","DEATH","1000000HAB","A","2001",75.243566467594,
"CHE","ROADACCID","DEATH","1000000HAB","A","2002",70.421056142878,
"CHE","ROADACCID","DEATH","1000000HAB","A","2003",74.397046682512,
"CHE","ROADACCID","DEATH","1000000HAB","A","2004",69.015680768645,
"CHE","ROADACCID","DEATH","1000000HAB","A","2005",54.994443409844,
"CHE","ROADACCID","DEATH","1000000HAB","A","2006",49.439238774687,
"CHE","ROADACCID","DEATH","1000000HAB","A","2007",50.853403542814,
"CHE","ROADACCID","DEATH","1000000HAB","A","2008",46.680853985035,
"CHE","ROADACCID","DEATH","1000000HAB","A","2009",45.068132297825,
"CHE","ROADACCID","DEATH","1000000HAB","A","2010",41.789623368144,
"CHE","ROADACCID","DEATH","1000000HAB","A","2011",40.442859421379,
"CHE","ROADACCID","DEATH","1000000HAB","A","2012",42.391633417162,
"CHE","ROADACCID","DEATH","1000000HAB","A","2013",33.253615310805,
"CHE","ROADACCID","DEATH","1000000HAB","A","2014",29.675224814252,
"MEX","ROADACCID","DEATH","1000000HAB","A","2001",49.938356643657,
"MEX","ROADACCID","DEATH","1000000HAB","A","2002",46.60985732554,
"MEX","ROADACCID","DEATH","1000000HAB","A","2003",44.017228892421,
"MEX","ROADACCID","DEATH","1000000HAB","A","2004",43.020467489765,
"MEX","ROADACCID","DEATH","1000000HAB","A","2005",43.421252488702,
"MEX","ROADACCID","DEATH","1000000HAB","A","2006",44.580742910286,
"MEX","ROADACCID","DEATH","1000000HAB","A","2007",48.266956075264,
"MEX","ROADACCID","DEATH","1000000HAB","A","2008",47.324603112731,
"MEX","ROADACCID","DEATH","1000000HAB","A","2009",42.153936097161,
"MEX","ROADACCID","DEATH","1000000HAB","A","2010",42.891624805921,
"MEX","ROADACCID","DEATH","1000000HAB","A","2011",36.997223705157,
"MEX","ROADACCID","DEATH","1000000HAB","A","2012",37.565700560548,
"MEX","ROADACCID","DEATH","1000000HAB","A","2013",31.411185070075,
"MEX","ROADACCID","DEATH","1000000HAB","A","2014",30.381189744779,
"CAN","ROADACCID","DEATH","1000000HAB","A","2001",88.733314243981,
"CAN","ROADACCID","DEATH","1000000HAB","A","2002",93.138192717301,
"CAN","ROADACCID","DEATH","1000000HAB","A","2003",87.668897588079,
"CAN","ROADACCID","DEATH","1000000HAB","A","2004",85.482106579153,
"CAN","ROADACCID","DEATH","1000000HAB","A","2005",89.688041594454,
"CAN","ROADACCID","DEATH","1000000HAB","A","2006",88.147236280187,
"CAN","ROADACCID","DEATH","1000000HAB","A","2007",83.708526727497,
"CAN","ROADACCID","DEATH","1000000HAB","A","2008",73.122077805199,
"CAN","ROADACCID","DEATH","1000000HAB","A","2009",65.896347483811,
"CAN","ROADACCID","DEATH","1000000HAB","A","2010",65.813320604327,
"CAN","ROADACCID","DEATH","1000000HAB","A","2011",58.906122334884,
"CAN","ROADACCID","DEATH","1000000HAB","A","2012",59.711293736544,
"CAN","ROADACCID","DEATH","1000000HAB","A","2013",55.501236474241,
"CAN","ROADACCID","DEATH","1000000HAB","A","2014",52.004556139425,
"LVA","ROADACCID","DEATH","1000000HAB","A","2001",221.20769991058,
"LVA","ROADACCID","DEATH","1000000HAB","A","2002",224.2256315869,
"LVA","ROADACCID","DEATH","1000000HAB","A","2003",215.47626592306,
"LVA","ROADACCID","DEATH","1000000HAB","A","2004",228.0036162434,
"LVA","ROADACCID","DEATH","1000000HAB","A","2005",197.4272813236,
"LVA","ROADACCID","DEATH","1000000HAB","A","2006",183.46911700867,
"LVA","ROADACCID","DEATH","1000000HAB","A","2007",190.42641427971,
"LVA","ROADACCID","DEATH","1000000HAB","A","2008",145.13241495746,
"LVA","ROADACCID","DEATH","1000000HAB","A","2009",118.59909257686,
"LVA","ROADACCID","DEATH","1000000HAB","A","2010",103.9305286393,
"LVA","ROADACCID","DEATH","1000000HAB","A","2011",86.905480337271,
"LVA","ROADACCID","DEATH","1000000HAB","A","2012",87.00700332642,
"LVA","ROADACCID","DEATH","1000000HAB","A","2013",88.937603067006,
"LVA","ROADACCID","DEATH","1000000HAB","A","2014",106.33058177875,
"UKR","ROADACCID","DEATH","1000000HAB","A","2001",122.91546696221,
"UKR","ROADACCID","DEATH","1000000HAB","A","2002",124.10144702038,
"UKR","ROADACCID","DEATH","1000000HAB","A","2003",149.52016137887,
"UKR","ROADACCID","DEATH","1000000HAB","A","2004",146.80221530992,
"UKR","ROADACCID","DEATH","1000000HAB","A","2005",153.46517312863,
"UKR","ROADACCID","DEATH","1000000HAB","A","2006",162.26469535295,
"UKR","ROADACCID","DEATH","1000000HAB","A","2007",205.85108155672,
"UKR","ROADACCID","DEATH","1000000HAB","A","2008",166.84609431409,
"UKR","ROADACCID","DEATH","1000000HAB","A","2009",116.12631450949,
"UKR","ROADACCID","DEATH","1000000HAB","A","2010",106.27699163082,
"UKR","ROADACCID","DEATH","1000000HAB","A","2011",107.38172804068,
"UKR","ROADACCID","DEATH","1000000HAB","A","2012",112.53846508149,
"UKR","ROADACCID","DEATH","1000000HAB","A","2013",106.04621715733,"P"
"ITA","ROADACCID","DEATH","1000000HAB","A","2001",124.54782085193,
"ITA","ROADACCID","DEATH","1000000HAB","A","2002",122.32950356111,
"ITA","ROADACCID","DEATH","1000000HAB","A","2003",114.51113629088,
"ITA","ROADACCID","DEATH","1000000HAB","A","2004",106.12750795363,
"ITA","ROADACCID","DEATH","1000000HAB","A","2005",100.36314968751,
"ITA","ROADACCID","DEATH","1000000HAB","A","2006",97.499347266894,
"ITA","ROADACCID","DEATH","1000000HAB","A","2007",87.801991536032,
"ITA","ROADACCID","DEATH","1000000HAB","A","2008",80.320628389159,
"ITA","ROADACCID","DEATH","1000000HAB","A","2009",71.697670367211,
"ITA","ROADACCID","DEATH","1000000HAB","A","2010",69.40248425467,
